time,A,B,C,u
3.58,0.21898024439917155,0.3392808342516395,0.43748971816547366,0.0
3.59,0.2164039219674859,0.34664405265088977,0.435641257408398,0.0
3.6,0.22261272111362232,0.3432592380275653,0.4546701222092013,0.0
3.61,0.22427652008736032,0.33795451799442816,0.4563921051368483,0.0
3.62,0.2177167008526882,0.35333883035937036,0.41238185238711444,0.0
3.63,0.22086211805353156,0.34657326539413896,0.4324964776194882,0.0
3.64,0.21697258911851744,0.34507506604880095,0.44901862742959137,0.0
3.65,0.21639170431267366,0.34447186784569245,0.4416347187790993,0.0
3.66,0.22019867758123007,0.3455122384573816,0.4512128210028429,0.0
3.67,0.2221493432571723,0.34614562541710503,0.4495891268572681,0.0
3.68,0.21736989993439565,0.34267802457608015,0.43760892721677014,0.0
3.69,0.21011216616556083,0.3423426065428324,0.44865314290605596,0.0
3.7,0.22241994121240966,0.3418620290260403,0.4381539829049082,0.0
3.71,0.2128233341443734,0.33080997611781965,0.4278144789723992,0.0
3.72,0.22037848716334993,0.3398189105468117,0.4400266942641468,0.0
3.73,0.22766306172431613,0.3493337799707714,0.45015969329893113,0.0
3.74,0.21976595911873392,0.3514646532017167,0.44621586503541166,0.0
3.75,0.2146078657219804,0.3424180374644173,0.43547201464173046,0.0
3.7600000000000002,0.21341348482019917,0.3356577964336495,0.4515438894216671,0.0
3.77,0.22498317896576472,0.34790948787451476,0.4507064089686886,0.0
3.7800000000000002,0.21976149990655738,0.33559916810874096,0.4508700721480027,0.0
3.79,0.2222081639024948,0.33408123409663854,0.42234382804972714,0.0
3.8000000000000003,0.22390685102139496,0.3315631269083614,0.4316084227784755,0.0
3.81,0.21961787090119,0.32718592774864536,0.433488296993031,0.0
3.8200000000000003,0.21847563793903127,0.3537670874389758,0.43279689758931605,0.0
3.83,0.21566648920757914,0.34128676816325687,0.42047472896498655,0.0
3.84,0.20627822558026782,0.3216673427584799,0.4338476112455561,0.0
3.85,0.21315598250503312,0.3354321642330272,0.4488777705484035,0.0
3.86,0.21952327820523823,0.32940026616784573,0.4299660602915411,0.0
3.87,0.21905794740999157,0.34673576413890317,0.4579088011601453,0.0
3.88,0.22160203845517654,0.3364717859860615,0.4300849765018109,0.0
